region,f1r1r1,f1r1r2,f1r2,f1r3r1,f1r3r2,f1r3r3,f1r3_3,f1r3_3r1,f1r3_3r2,f1r3_3r3,f1r3_3r4,f1r4,f1r5r1,f1r5r2,f1r6,f1r7,f1r8,f1r9,f1r9_1g1,f1r9_1g2,f1r10,f1r10_1,f1r10_2,f1r10_3,f1r11r1,f1r11r2,f1r12r1,f1r12r2,f1r13r1,f1r13r2,f1r13_1r1g1,f1r13_1r1g2,f1r13_1r1g3,f1r13_1r2g1,f1r13_1r2g2,f1r13_1r2g3,f1r13_1r3g1,f1r13_1r3g2,f1r13_1r3g3,f1r15,f1r16,f1r17,f1r18,f1r19,f1r19_1,f1r20,f1r21,f1r21_1,f1r22,f1r23g1,f1r23g2,f1r23g3,f1r23_1g1,f1r23_1g2,f1r23_1g3,f1r24g1,f1r24g2,f1r24g3,f1r25r1g1,f1r25r1g2,f1r25r1g3,f1r25r1g4,f1r25r2g1,f1r25r2g2,f1r25r2g3,f1r25r2g4,f1r25_1r1g1,f1r25_1r1g2,f1r25_1r1g3,f1r25_1r1g4,f1r25_1r1g5,f1r25_1r1g6,f1r25_1r1g7,f1r25_1r1g8,f1r25_1r1g9,f1r25_1r2g1,f1r25_1r2g2,f1r25_1r2g3,f1r25_1r2g4,f1r25_1r2g5,f1r25_1r2g6,f1r25_1r2g7,f1r25_1r2g8,f1r25_1r2g9,f1r25_2r1g1,f1r25_2r1g2,f1r25_2r1g3,f1r25_2r2g1,f1r25_2r2g2,f1r25_2r2g3,f1r25_3r1g1,f1r25_3r1g2,f1r25_3r1g3,f1r25_3r1g4,f1r25_3r1g5,f1r25_3r2g1,f1r25_3r2g2,f1r25_3r2g3,f1r25_3r2g4,f1r25_3r2g5,f1r25_4r1g1,f1r25_4r1g2,f1r25_4r1g3,f1r25_4r1g4,f1r25_4r1g5,f1r25_4r2g1,f1r25_4r2g2,f1r25_4r2g3,f1r25_4r2g4,f1r25_4r2g5,f1r26g1,f1r26g2,f1r26g3,f1r26g4,f1r26g5,f1r26g6,f1r27g1,f1r27g2,f1r27g3,f1r27g4,f1r27g5,f1r27g6,f1r28g1,f1r28g2,f1r28g3,f1r28g4,f1r28g5,f1r29,f1r29_1g1,f1r29_1g2,f1r29_1g3,f1r29_1g4,f1r30_1,f1r30_2,f1r30_3,f1r30_4,f1r30_5,f1r30_6,f1r30_7,f1r30_8,f1r30_9,f1r30_10,f1r30_11,f1r30_12,f1r31,f1r32r1,f1r32r2,f1r33g1,f1r33g2,f1r33g3,f1r33g4,f1r33g5,f1r34g1,f1r34g2,f1r34g3,f1r34g4,f1r35g1,f1r35g2,f1r36g1,f1r36g2,f1r37g1,f1r37g2,f1r38g1,f1r38g2,f1r38g3,f1r40,f1_1r5,f1_1r6,f1_1r9,f1_1r10,f1_1r11g1,f1_1r11g2,f1_1r12g1,f1_1r12g2,f1_1r12g3,f1_1r13g1,f1_1r13g2,f1_1r13g3,f1_1r13g4,f1_1r14g1,f1_1r14g2,f1_1r14g3,f1_1r15g1,f1_1r15g2,f1_1r16,f1_1r17g1,f1_1r17g2,f1_1r17g3,f1_1r18g1,f1_1r18g2,f1_1r18_1g1,f1_1r18_1g2,f1_1r19g1,f1_1r19g2,f1_1r20g1,f1_1r20g2,f1_1r21g1,f1_1r21g2,f1_1r22g1,f1_1r22g2,f1_1r23g1,f1_1r23g2,f1_1r23g3,f1_1r23g4,f1_1r24g1,f1_1r24g2,f1_1r25r1,f1_1r25r2,f1_1r25_1r1,f1_1r25_1r2,f1_1r26g1,f1_1r26g2,f1_1r27g1,f1_1r27g2,f1_1r28r1g1,f1_1r28r1g2,f1_1r28r1g3,f1_1r28r1g4,f1_1r28r1g5,f1_1r28r2g1,f1_1r28r2g2,f1_1r28r2g3,f1_1r28r2g4,f1_1r28r2g5,f1_1r29g1,f1_1r29g2,f1_1r29g3,f1_1r30g1,f1_1r30g2,f1_1r31g1,f1_1r31g2,f1_1r31g3,f1_1r32g1,f1_1r32g2,f1_1r32g3,f1_1r32g4,f1_1r32g5,f1_1r32_1g1,f1_1r32_1g2,f1_1r33,f1_1r33_1,f1_1r34,f1_1r34_1,f1_1r35,f1_1r35_1,f1_1r36g1,f1_1r36g2,f1_1r36g3,f1_1r36g4,f1_1r36g5,f1_1r37,f1_2r5,f1_2r6,f1_2r9g1,f1_2r9g2,f1_2r10,f1_2r11g1,f1_2r11g2,f1_2r12,f1_2r13,f1_2r14,raskr
1101,1,32,1,1,2019,190,11901010006000190,1,19,1010006,190,1,1877,26.07.2019,20190807,20190807,,12,,,7,,,,1,05.08.2019,26.07.2019,,158001,,,,,,,,,,,2,,,1,309,01235876001,,4,1100,,243,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,5,20210430,20210430,1100,,,,,,,,,,,1,5,,101,102,,,,,589,,,,589,,1,,,,1,,2,,,,,,31,20210429,,,1,,,,1,,,,,11572.0,,,,,,,,,,,,,2,,,,,,,5,,7,70,,,,,,,,20210406,,,,,,,,,,,1
1101,1,70,1,1,2019,274,11901010051000274,1,19,1010051,274,1,4169,23.08.2019,20190906,20190906,,7,,,4,,,,1,02.09.2019,16.08.2019,,159002,,,,,,,,,,,3,,3,1,70105,01405000000,,3,,,,,4,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,589,,589,,,,,2,20211126,20211126,,,,,,,,,,,,1,,,,,,,,,589,,,,589,,1,,,,1,,7016,,,,900,,1,20211124,,,1,,,,1,,,,,20000.0,,,,,,,,,,,,,2,9,11,,,,,2,,7,,,,,,,,,20211108,,,,,,,,,,,1
1101,1,94,1,1,2019,123,11901010077000123,1,19,1010077,123,1,1364,18.08.2019,20190823,20190823,,7,,,4,,,,1,19.08.2019,18.08.2019,7,158004,   ÀÁ,,,,,,,,,,1,2,2,1,134,01260805001,186,4,1000,65100,4,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,9,,,,,,,,,,,,11,12,13,28,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,3,20210326,20210326,1000,210,,,1,,,,,,,1,,,,,,,,,589,,,,589,,1,,,,1,,6,,,,2800,,1,20210323,,,1,,,,,,,,,,,,,,,,,,,11,43,41,2,18,11,,,,,3,,7,,1358,,3,,,,,20210321,,,,,,,,,,,1
1101,1,56,1,1,2019,1032,11901010050001032,1,19,1010050,1032,1,1599,30.09.2019,20191018,20191018,,7,,,4,,,,1,10.10.2019,03.05.2019,,158003,    Ã,,,,,,,,,,1,,3,1,144,01405000000,,3,,75000,,,4,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,58,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,20210325,20210325,,,,,2,,,,,,,,,,,,,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210316,,,1,,,,1,,,,,5800.0,,,,,,,,,,,,,2,11,18,,,,,2,,7,,,,,,,,,20210309,,,,,,,,,,,1
1101,1,60,1,1,2019,1713,11901010038001713,1,19,1010038,1713,1,15313,20.06.2019,20191028,20191028,,43,,,4,1030,213,2,1,25.10.2019,28.09.2017,,159003,,,,,,,,,,,1,,1,3,,01401363000,712,2,,75114,4,,,,,,15,,,4,,,,337123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3,20210315,20210315,,410,,,2,,,,,,,,,,,,,,,,589,,,,589,,1,,,,1,,7016,,,,3986,,1,20210312,,,1,,,,1,,,,,337123.0,,,,,,,,,,41,,,2,11,,,,,,3,,43,,,,,,,,,20210309,,,,,,,,,,,1
1101,1,60,1,1,2019,1538,11901010038001538,1,19,1010038,1538,1,24615,26.09.2019,20190928,20190928,,7,,,4,,,,1,26.09.2019,26.09.2019,,158002,    Â,,,,,,,,,,3,,3,1,70105,01401363000,,2,,,75,68,241,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,227,,,,,,,,,,,11,14,,,1,,,,,,1,,,,,,,,,,4,,,,6,,,,,,589,,589,,,,,2,20210322,20210322,,,,,2,,,,,,,,,,,,,,,,589,,,,589,,2,,,,51,,2,,,,,,1,20210309,,,1,,,,1,,,,,111616.0,,,,,,,,,,11,41,43,2,,,,,,,2,,7,,1309,,,,,,,20210304,,,,,,,,,,,1
1101,1,57,1,1,2019,1381,11901010049001381,1,19,1010049,1381,1,1600,30.09.2019,20191018,20191018,,7,,,4,,,,1,10.10.2019,19.07.2019,,158003,    Ã,,,,,,,,,,1,,,1,,01405000000,,3,,75100,,4,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,58,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,20210429,20210429,,,,,2,,,,,,,,,,,,,,,,589,,,,589,,1,,,,1,,6,,,,800,,1,20210428,,,1,,,,1,,,,,15784.0,,,,,,,,,,,,,2,11,18,,,,,2,,7,56,1308,,,,,,,20210422,,,,,,,,,,,1
1101,1,27,1,1,2019,507,11901010024000507,1,19,1010024,507,1,6201,16.09.2019,20190930,20190930,,7,,,7,,,,1,26.09.2019,21.03.2019,,159001,,,,,,,,,,,2,,,1,134,01230000000,591,4,,66000,4,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,227,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,589,,589,,,,,5,20210720,20210720,,,,,,,,,,,,,,,,,,,,,589,,,,589,,2,,,,1,,2,,,,,,52,20210705,,,1,,,,1,,,,,12908.0,,,,,,,,,,,,,2,4,18,,,,,5,,7,,,,,,,,,20210719,,,,,,,,,,,1
1101,1,14,1,1,2019,115,11901010078000115,1,19,1010078,115,1,1232,01.07.2019,20190705,20190705,,80,,,4,,,,1,02.07.2019,23.06.2019,,158002,    Á,,,,,,,,,,3,,,1,102,01215868001,,4,,,95,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,161,162,,,,,,,,,,,12,,,,1,,,,,,1,,,,,,,,,3,4,10,,,5000,,,,,,589,,589,,,,,2,20210311,20210311,,,,,,,,5,,,,,,,,,,,,,589,,,,589,,1,,,,230,,2,,,,,,1,20210310,,,1,,1,,1,,,,,2000.0,,,,,,,,,,,,,2,,,,,1,,2,,7,,1309,,,,,,,20210309,,,,,,,,,,,1
1101,1,60,1,1,2019,1101,11901010038001101,1,19,1010038,1101,1,16269,30.06.2019,20190716,20190716,,7,,,7,,,,1,10.07.2019,29.06.2019,,158003,    Ã,,,,,,,,,,1,,,1,134,01401363000,,2,,,4,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,58,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,589,,589,,,,,2,20210719,20210719,,,,,,,,,,,,1,,,,,,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210715,,,1,,2,,1,,,,,2809.0,,,,,,,,,,43,,,2,11,,,,,,2,,7,,,,,,,,,20210709,,,,,,,,,,,1
