region,f1r1r1,f1r1r2,f1r2,f1r3r1,f1r3r2,f1r3r3,f1r3_3,f1r3_3r1,f1r3_3r2,f1r3_3r3,f1r3_3r4,f1r4,f1r5r1,f1r5r2,f1r6,f1r7,f1r8,f1r9,f1r9_1g1,f1r9_1g2,f1r10,f1r10_1,f1r10_2,f1r10_3,f1r11r1,f1r11r2,f1r12r1,f1r12r2,f1r13r1,f1r13r2,f1r13_1r1g1,f1r13_1r1g2,f1r13_1r1g3,f1r13_1r2g1,f1r13_1r2g2,f1r13_1r2g3,f1r13_1r3g1,f1r13_1r3g2,f1r13_1r3g3,f1r15,f1r16,f1r17,f1r18,f1r19,f1r19_1,f1r20,f1r21,f1r21_1,f1r22,f1r23g1,f1r23g2,f1r23g3,f1r23_1g1,f1r23_1g2,f1r23_1g3,f1r24g1,f1r24g2,f1r24g3,f1r25r1g1,f1r25r1g2,f1r25r1g3,f1r25r1g4,f1r25r2g1,f1r25r2g2,f1r25r2g3,f1r25r2g4,f1r25_1r1g1,f1r25_1r1g2,f1r25_1r1g3,f1r25_1r1g4,f1r25_1r1g5,f1r25_1r1g6,f1r25_1r1g7,f1r25_1r1g8,f1r25_1r1g9,f1r25_1r2g1,f1r25_1r2g2,f1r25_1r2g3,f1r25_1r2g4,f1r25_1r2g5,f1r25_1r2g6,f1r25_1r2g7,f1r25_1r2g8,f1r25_1r2g9,f1r25_2r1g1,f1r25_2r1g2,f1r25_2r1g3,f1r25_2r2g1,f1r25_2r2g2,f1r25_2r2g3,f1r25_3r1g1,f1r25_3r1g2,f1r25_3r1g3,f1r25_3r1g4,f1r25_3r1g5,f1r25_3r2g1,f1r25_3r2g2,f1r25_3r2g3,f1r25_3r2g4,f1r25_3r2g5,f1r25_4r1g1,f1r25_4r1g2,f1r25_4r1g3,f1r25_4r1g4,f1r25_4r1g5,f1r25_4r2g1,f1r25_4r2g2,f1r25_4r2g3,f1r25_4r2g4,f1r25_4r2g5,f1r26g1,f1r26g2,f1r26g3,f1r26g4,f1r26g5,f1r26g6,f1r27g1,f1r27g2,f1r27g3,f1r27g4,f1r27g5,f1r27g6,f1r28g1,f1r28g2,f1r28g3,f1r28g4,f1r28g5,f1r29,f1r29_1g1,f1r29_1g2,f1r29_1g3,f1r29_1g4,f1r30_1,f1r30_2,f1r30_3,f1r30_4,f1r30_5,f1r30_6,f1r30_7,f1r30_8,f1r30_9,f1r30_10,f1r30_11,f1r30_12,f1r31,f1r32r1,f1r32r2,f1r33g1,f1r33g2,f1r33g3,f1r33g4,f1r33g5,f1r34g1,f1r34g2,f1r34g3,f1r34g4,f1r35g1,f1r35g2,f1r36g1,f1r36g2,f1r37g1,f1r37g2,f1r38g1,f1r38g2,f1r38g3,f1r40,f1_1r5,f1_1r6,f1_1r9,f1_1r10,f1_1r11g1,f1_1r11g2,f1_1r12g1,f1_1r12g2,f1_1r12g3,f1_1r13g1,f1_1r13g2,f1_1r13g3,f1_1r13g4,f1_1r14g1,f1_1r14g2,f1_1r14g3,f1_1r15g1,f1_1r15g2,f1_1r16,f1_1r17g1,f1_1r17g2,f1_1r17g3,f1_1r18g1,f1_1r18g2,f1_1r18_1g1,f1_1r18_1g2,f1_1r19g1,f1_1r19g2,f1_1r20g1,f1_1r20g2,f1_1r21g1,f1_1r21g2,f1_1r22g1,f1_1r22g2,f1_1r23g1,f1_1r23g2,f1_1r23g3,f1_1r23g4,f1_1r24g1,f1_1r24g2,f1_1r25r1,f1_1r25r2,f1_1r25_1r1,f1_1r25_1r2,f1_1r26g1,f1_1r26g2,f1_1r27g1,f1_1r27g2,f1_1r28r1g1,f1_1r28r1g2,f1_1r28r1g3,f1_1r28r1g4,f1_1r28r1g5,f1_1r28r2g1,f1_1r28r2g2,f1_1r28r2g3,f1_1r28r2g4,f1_1r28r2g5,f1_1r29g1,f1_1r29g2,f1_1r29g3,f1_1r30g1,f1_1r30g2,f1_1r31g1,f1_1r31g2,f1_1r31g3,f1_1r32g1,f1_1r32g2,f1_1r32g3,f1_1r32g4,f1_1r32g5,f1_1r32_1g1,f1_1r32_1g2,f1_1r33,f1_1r33_1,f1_1r34,f1_1r34_1,f1_1r35,f1_1r35_1,f1_1r36g1,f1_1r36g2,f1_1r36g3,f1_1r36g4,f1_1r36g5,f1_1r37,f1_2r5,f1_2r6,f1_2r9g1,f1_2r9g2,f1_2r10,f1_2r11g1,f1_2r11g2,f1_2r12,f1_2r13,f1_2r14,raskr
1120,1,8,1,1,2020,110450,12001200050110450,1,20,1200050,110450,1,5489,16.03.2020,20200326,20200326,,7,,,4,,,,1,17.03.2020,08.03.2020,,159002,,,,,,,,,,,3,,3,1,,20401365000,,2,,,4,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,49,56,58,,,227,116,,,,,220,137,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,589,,589,,,,,2,20211003,20211003,,,,,,,,,,,,1,,,201,,,,,,589,,,,589,,2,,1,,1,,2,,,,,,1,20210524,9,20210709,1,,,,1,,,,,14000.0,,,,,,,,,,,,,2,,,,,1,,2,15,10007,61,101309,,,,,,,20210524,,,,,,,,,2,7,1
1120,1,11,1,1,2020,110547,12001200050110547,1,20,1200050,110547,1,6368,27.03.2020,20200409,20200409,,10134,1,,4,,,,1,05.04.2020,27.03.2020,19,228013,юа,,,,,,,,,,4,,6,1,,20401365000,,2,1100,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,90,48,,,,101,135,,,,,137,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20210521,20210521,1100,410,,,,,,6,5,2,,1,,,,,,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210226,,,10,,,,,,,,,,,,,,,,,,,11,41,,16,2,2,,,2,,2,,10134,,2559,2559,3,,,,,20210226,20200731,20200731,1,,1,4,,20200605,2,134,1
1120,1,11,1,1,2020,111281,12001200050111281,1,20,1200050,111281,1,17961,20.08.2020,20200831,20200831,,13,,,7,,,,1,29.08.2020,20.08.2020,5,158002,ю,,,,,,,,,,3,,,1,,20401365000,,2,1100,,232,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,2,20210502,20210502,1100,410,,,,,,2,6,,,1,,,202,,,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210430,,,1,,,,1,,,,,78400.0,,,,,,,,,,,,,,,,,,,,2,,7,79,1309,1309,,,,,,20210430,,,,,,,,,2,7,1
1120,1,11,1,1,2020,111301,12001200050111301,1,20,1200050,111301,1,19108,02.09.2020,20200914,20200914,,80,,,4,,,,1,03.09.2020,02.09.2020,8,158002,б,,,,,,,,,,3,,3,1,351,20401365000,,2,1100,,114,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,201,,,,,,12,14,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,589,,589,,,,,2,20211003,20211003,1100,,,,,,,,,,,1,,,,,,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210407,9,20210910,1,,,,1,,,,,15000.0,,,,,,,,,,11,,,2,2,,,,,,2,15,7,2,1309,1309,,,,,,20210407,,,,,,,,,2,7,1
1120,1,11,1,1,2020,111581,12001200050111581,1,20,1200050,111581,1,23421,26.10.2020,20201031,20201031,,7,,,4,,,,1,28.10.2020,27.09.2020,,158002,юа,,,,,,,,,,3,,,1,5000,20401365000,,2,,,64,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,12,14,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,2,20210803,20210803,,410,,,,,,,,,,1,,,102,,1,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210731,,,1,,,,1,,,,,101480.0,,,,,,,,,,,,,2,2,,,,1,,2,,7,2,,,3,,,,,20210731,,,,,,,,,2,7,1
1120,1,11,1,1,2020,111639,12001200050111639,1,20,1200050,111639,1,24007,03.11.2020,20201117,20201117,,18,,,7,,,,1,12.11.2020,10.10.2020,12,159001,,,,,,,,,,,2,,,1,,20401365000,,2,,,4,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,88,56,58,,,227,161,116,,,,137,108,,,,,,,,,1,,,,,,1,,,,,,,,,4,,,,,6,,,,2899,,589,,589,,,,,5,20211102,20211102,,,,,2,,,,,,,,,,,,,,,,589,,,,589,,2,,,,1,,2,,,,,,31,20211029,,,1,,,,1,,,,,3350.0,,,,,,,,,,,,,2,,,,,1,,5,,7,7,,,,,,,,20211029,,,,,,,,,5,7,1
1120,1,11,1,1,2020,111666,12001200050111666,1,20,1200050,111666,1,24517,11.11.2020,20201123,20201123,,18,,,7,,,,1,19.11.2020,11.11.2020,12,158001,,,,,,,,,,,2,,,1,151,20401365000,,2,1000,,225,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,5,20210403,20210403,1000,,,,2,,,6,,,,1,,,,,,,,,589,,,,589,,1,,,,1,,2,,,,,,31,20210331,,,1,,,,1,,,,,3674.0,,,,,,,,,,,,,2,,,,,1,,5,,7,7,1309,,,,,,,20210331,,,,,,,,,5,7,1
1120,1,11,1,1,2019,110875,11901200050110875,1,19,1200050,110875,1,11885,22.06.2019,20190705,20190705,,12,,,7,,,,1,01.07.2019,13.06.2019,17,158001,,,,,,,,,,,2,,,1,140,20401365000,,2,1100,,228,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,9,,,,,6,,,,2899,,589,,589,,,,,2,20210502,20210502,1100,,,,,,,,,,,1,9,,,,,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210430,,,1,,,,1,,,,,4700.0,,,,,,,,,,11,41,54,2,,,,,1,,2,,7,2,1309,1309,,,,,,20210430,,,,,,,,,2,7,1
1120,1,12,1,1,2015,123522,11501200051123522,1,15,1200051,123522,1,3084,15.02.2015,20150324,20150324,,12,,,4,,,,1,16.03.2015,09.02.2015,14,228002,,,,,,,,,,,1,,1,1,,20401370000,,2,,,8,,,,,,,,,,,,,,,,,2407,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20210304,20210304,,,,,,,,6,,,,1,9,,,,,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210226,,,2,,,,,,,,,,,,,,,,,,,51,,,2,16,,,,1,,2,,12,2,,,,,,,,20210226,20150526,20150526,4,,,9,,20150516,2,12,1
1120,2,12,1,1,2018,120132,11802200003120132,1,18,2200003,120132,1,688,13.08.2018,20180914,20180914,,15,,,3,,,,1,06.09.2018,01.01.2013,,132004,а,,,,,,,,,,4,,,1,70105,20401370000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,70,134,161,171,174,,,,,,,14,,,,1,,,1,,,1,,,1,,,,,,4,1,30,,,724,,,,,,589,,589,,,,,1,20210531,20210531,,,,,,,,,,,,1,,,100,,,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210521,,,14,,,,,,,,,,,,,,,,,,,43,51,,2,11,,,,1,,1,,7,64,,,,,,,,20210521,,,,,,,,,1,7,1
