region,f1r1r1,f1r1r2,f1r2,f1r3r1,f1r3r2,f1r3r3,f1r3_3,f1r3_3r1,f1r3_3r2,f1r3_3r3,f1r3_3r4,f1r4,f1r5r1,f1r5r2,f1r6,f1r7,f1r8,f1r9,f1r9_1g1,f1r9_1g2,f1r10,f1r10_1,f1r10_2,f1r10_3,f1r11r1,f1r11r2,f1r12r1,f1r12r2,f1r13r1,f1r13r2,f1r13_1r1g1,f1r13_1r1g2,f1r13_1r1g3,f1r13_1r2g1,f1r13_1r2g2,f1r13_1r2g3,f1r13_1r3g1,f1r13_1r3g2,f1r13_1r3g3,f1r15,f1r16,f1r17,f1r18,f1r19,f1r19_1,f1r20,f1r21,f1r21_1,f1r22,f1r23g1,f1r23g2,f1r23g3,f1r23_1g1,f1r23_1g2,f1r23_1g3,f1r24g1,f1r24g2,f1r24g3,f1r25r1g1,f1r25r1g2,f1r25r1g3,f1r25r1g4,f1r25r2g1,f1r25r2g2,f1r25r2g3,f1r25r2g4,f1r25_1r1g1,f1r25_1r1g2,f1r25_1r1g3,f1r25_1r1g4,f1r25_1r1g5,f1r25_1r1g6,f1r25_1r1g7,f1r25_1r1g8,f1r25_1r1g9,f1r25_1r2g1,f1r25_1r2g2,f1r25_1r2g3,f1r25_1r2g4,f1r25_1r2g5,f1r25_1r2g6,f1r25_1r2g7,f1r25_1r2g8,f1r25_1r2g9,f1r25_2r1g1,f1r25_2r1g2,f1r25_2r1g3,f1r25_2r2g1,f1r25_2r2g2,f1r25_2r2g3,f1r25_3r1g1,f1r25_3r1g2,f1r25_3r1g3,f1r25_3r1g4,f1r25_3r1g5,f1r25_3r2g1,f1r25_3r2g2,f1r25_3r2g3,f1r25_3r2g4,f1r25_3r2g5,f1r25_4r1g1,f1r25_4r1g2,f1r25_4r1g3,f1r25_4r1g4,f1r25_4r1g5,f1r25_4r2g1,f1r25_4r2g2,f1r25_4r2g3,f1r25_4r2g4,f1r25_4r2g5,f1r26g1,f1r26g2,f1r26g3,f1r26g4,f1r26g5,f1r26g6,f1r27g1,f1r27g2,f1r27g3,f1r27g4,f1r27g5,f1r27g6,f1r28g1,f1r28g2,f1r28g3,f1r28g4,f1r28g5,f1r29,f1r29_1g1,f1r29_1g2,f1r29_1g3,f1r29_1g4,f1r30_1,f1r30_2,f1r30_3,f1r30_4,f1r30_5,f1r30_6,f1r30_7,f1r30_8,f1r30_9,f1r30_10,f1r30_11,f1r30_12,f1r31,f1r32r1,f1r32r2,f1r33g1,f1r33g2,f1r33g3,f1r33g4,f1r33g5,f1r34g1,f1r34g2,f1r34g3,f1r34g4,f1r35g1,f1r35g2,f1r36g1,f1r36g2,f1r37g1,f1r37g2,f1r38g1,f1r38g2,f1r38g3,f1r40,f1_1r5,f1_1r6,f1_1r9,f1_1r10,f1_1r11g1,f1_1r11g2,f1_1r12g1,f1_1r12g2,f1_1r12g3,f1_1r13g1,f1_1r13g2,f1_1r13g3,f1_1r13g4,f1_1r14g1,f1_1r14g2,f1_1r14g3,f1_1r15g1,f1_1r15g2,f1_1r16,f1_1r17g1,f1_1r17g2,f1_1r17g3,f1_1r18g1,f1_1r18g2,f1_1r18_1g1,f1_1r18_1g2,f1_1r19g1,f1_1r19g2,f1_1r20g1,f1_1r20g2,f1_1r21g1,f1_1r21g2,f1_1r22g1,f1_1r22g2,f1_1r23g1,f1_1r23g2,f1_1r23g3,f1_1r23g4,f1_1r24g1,f1_1r24g2,f1_1r25r1,f1_1r25r2,f1_1r25_1r1,f1_1r25_1r2,f1_1r26g1,f1_1r26g2,f1_1r27g1,f1_1r27g2,f1_1r28r1g1,f1_1r28r1g2,f1_1r28r1g3,f1_1r28r1g4,f1_1r28r1g5,f1_1r28r2g1,f1_1r28r2g2,f1_1r28r2g3,f1_1r28r2g4,f1_1r28r2g5,f1_1r29g1,f1_1r29g2,f1_1r29g3,f1_1r30g1,f1_1r30g2,f1_1r31g1,f1_1r31g2,f1_1r31g3,f1_1r32g1,f1_1r32g2,f1_1r32g3,f1_1r32g4,f1_1r32g5,f1_1r32_1g1,f1_1r32_1g2,f1_1r33,f1_1r33_1,f1_1r34,f1_1r34_1,f1_1r35,f1_1r35_1,f1_1r36g1,f1_1r36g2,f1_1r36g3,f1_1r36g4,f1_1r36g5,f1_1r37,f1_2r5,f1_2r6,f1_2r9g1,f1_2r9g2,f1_2r10,f1_2r11g1,f1_2r11g2,f1_2r12,f1_2r13,f1_2r14,raskr
1118,1,1,1,1,2011,530240,11100180000530240,1,11,180000,530240,1,4374,13.07.2011,20110808,20110808,,6,,,5,,,,1,01.08.2011,15.06.2007,,159003,,,,,,,,,,,1,,1,2,,18401363000,285,3,,65221,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,3,20211119,20211119,,,,,,,,,,,,,,,,,,,,,589,,,,589,,1,,,,1,,2,,,,,,4,20211111,,,1,,,,1,,,,,585000.0,,,,,,,,,,,,,,,,,,,,3,,6,,,,,,,,,20211116,20111130,20111130,4,,,1,,20111101,3,6,1
1118,2,1,1,1,2014,509528,11400180000509528,1,14,180000,509528,1,57,27.05.2014,20140610,20140610,,7,3,,3,,,,1,27.05.2014,12.02.2014,,112001,,,,,,,,,,,2,,,1,105,18401363000,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,10,,,,,1000,,,,,,589,,589,,,,,1,20210630,20210630,,,,,,,,,,,,1,,,100,,1,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210624,,,17,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,1,,7,,,,,,,,,20210624,20141212,20141212,1,4,,1,,20140604,1,7,1
1118,1,1,1,1,2015,17829,11500180000017829,1,15,180000,17829,1,14158,22.09.2015,20151026,20151026,,7,,,7,2032,,,1,01.10.2015,15.09.2015,,159001,,,,,,,,,,,2,,,1,134,18401363000,,2,1000,,2,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,2,20210131,20210131,1000,,,,,,,,,,,,,,,,,,,,589,,,,589,,1,,,,308,,2,,,,,,52,20171001,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,,,,,,,,20210131,,,,,,,,,,,1
1118,1,1,1,1,2015,17830,11500180000017830,1,15,180000,17830,1,14160,22.09.2015,20151026,20151026,,7,,,7,2032,,,1,01.10.2015,14.09.2015,,159001,,,,,,,,,,,2,,,1,134,18401363000,,2,1000,,2,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,17,,,,,,589,,589,,,,,5,20210131,20210131,1000,,,,,,,,,,,,,,,,,,,,589,,,,589,,1,,,,308,,2,,,,,,52,20171001,,,1,,,,1,,,,,7500.0,,,,,,,,,,,,,,,,,,,,5,,7,,,,,,,,,20210131,,,,,,,,,,,1
1118,2,1,1,1,2018,186,11802180029000186,1,18,2180029,186,1,196,01.06.2018,20180607,20180607,,6,1,2,3,,,,1,01.06.2018,16.09.2017,9,159003,,,,,,,,,,,1,2,1,11,139,18401363000,797,2,,80303,4,,,,,,,,,7,,,,301250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20210713,20210713,,,,,,,,,,,,,,,,,,,,,589,,,,589,,1,,,,1,,6,,,,,,4,20210630,,,1,,,,1,,,,,301250.0,,,,,,,,,,,,,,,,,,,,1,,6,,,,,,,,,20210707,,,,,,,,,,,1
1118,1,1,1,1,2019,1191,11901180032001191,1,19,1180032,1191,1,15375,21.10.2019,20191031,20191031,,80,,,7,,110,7,1,30.10.2019,12.09.2019,15,159031,,,,,,,,,,,2,,,1,,18401363000,,2,,,4,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,48,,,,,,,,,,,137,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,2899,,589,,589,,,,,3,20211112,20211112,,,,,,,,,,,,1,9,,202,211,1,,,,589,,,,589,,1,,,,1,,2,,,,,,52,20211029,,,1,,2,,1,,,,,4000.0,,,,,,,,,,,,,7,2,,,,1,,3,,7,,1359,,,,,,,20211110,20211112,20211112,4,,1,1,,20211022,3,7,1
1118,1,1,1,1,2019,1192,11901180032001192,1,19,1180032,1192,1,15376,21.10.2019,20191031,20191031,,80,,,4,,,,1,30.10.2019,26.09.2019,12,159002,,,,,,,,,,,3,,3,1,,18401363000,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,161,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,4,,,,,6,,,,2899,,589,,589,,,,,2,20211112,20211112,,,,,,,,,,,,1,9,,202,211,1,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20211110,,,1,,,,1,,,,,90530.0,,,,,,,,,,,,,2,,,,,1,,2,,7,,1359,,,,,,,20211110,20211112,20211112,1,,1,4,,20211022,3,7,1
1118,1,1,1,1,2019,752,11901180032000752,1,19,1180032,752,1,10600,23.07.2019,20190807,20190807,,80,,,4,,110,7,1,02.08.2019,23.07.2019,8,158002,Â,,,,,,,,,,3,,3,1,103,18401363000,,2,,,4,75,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,6,11,,,,1,,,,,,1,,,,,,,,,4,9,,,,2,,,,,,589,,589,,,,,2,20210831,20210831,,,,,,,,1,,,,1,,,102,,,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20210831,,,1,,,,1,,,,,40500.0,,,,,,,,,,31,,,9,,,,,1,,2,,7,,,,,,,,,20210831,20210811,20210811,,,1,1,,20210804,2,7,1
1118,1,1,1,1,2020,312,12001180032000312,1,20,1180032,312,1,12372,28.08.2019,20200229,20200229,,80,,,4,1032,113,12,1,27.02.2020,28.08.2017,,159004,,,,,,,,,,,1,,2,1,,18401363000,,2,,,4,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,5000,,,,,,589,,589,,,,,2,20211031,20211031,,410,,,,,,,,,,1,,,101,,2,,,,589,,,,589,,1,,,,1,,2,,,,,,1,20211022,,,1,,,,1,,,,,11053218.0,,,,,,,,,,,,,2,,,,,1,,2,,7,,,,,,,,,20211022,20211031,20211031,1,4,1,4,,20210810,2,7,1
1118,1,1,1,1,2020,317,12001180032000317,1,20,1180032,317,1,18328,17.12.2019,20200305,20200305,,11,,,4,1032,113,11,1,03.03.2020,20.08.2019,1,264001,,,,,,,,,,,2,,,1,145,18401363000,,2,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,180,227,,,,,,,,,,10,,,,1,,1,,,,,,,,,,,,,,,,,,720,,,,,,589,,589,,,,,2,20210409,20210409,1100,,,,2,,,,,,,,,,,,,,,,589,,,,589,,2,,,,1,,5000,,,,,,1,20210409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,11,,,,,,,,,20210409,20210409,20210409,3,4,1,1,,20210312,2,11,1
